,,HDI,balanced accuracy,F1,precision,recall
2,NGAr108,0.48200000000000004,0.6248827968728068,0.3844153055597577,0.8085023400936038,0.2521526475163729
2,NGAr109,0.643,0.7114309386263461,0.5920524745456387,0.8887953314855747,0.44386041757920863
2,NGAr110,0.514,0.6478201079855117,0.4302125304200205,0.7601599807673395,0.2999982749549332
2,NGAr111,0.483,0.6149633168814669,0.36169746548827697,0.7261252595399251,0.2408297928630344
2,NGAr112,0.45399999999999996,0.6242958620583059,0.3789296114904148,0.7251700499521735,0.2564735068999056
2,NGAr113,0.5670000000000001,0.6535068609278338,0.4468855861677339,0.8068492504949561,0.3090206627609926
2,NGAr114,0.6729999999999999,0.8560943677917142,0.8007349605298976,0.8440599504557497,0.7616405016096042
2,NGAr115,0.48200000000000004,0.6050509066494925,0.3340052507890933,0.7902352776959226,0.2117529714903167
2,NGAr116,0.662,0.7505829717725054,0.6463800443200374,0.8897640955658797,0.5075468350228094
2,NGAr117,0.606,0.6952214381982754,0.5451256413629786,0.8895448690425075,0.392972306525038
2,NGAr118,0.626,0.6552225166074053,0.4601417163423687,0.8686619897742521,0.3129605150424714
2,NGAr119,0.562,0.5984622627797019,0.3200923377430525,0.7862688650440548,0.2009497904218318
2,NGAr120,0.642,0.662541406365127,0.4777088575011002,0.8648006734411641,0.329998738054539
2,NGAr121,0.33899999999999997,0.6858999164122797,0.5090653384119542,0.7929026487285737,0.37487162226307297
2,NGAr122,0.64,0.6764894272533829,0.515426920510711,0.8682292348653485,0.36650053891719103
2,NGAr123,0.655,0.7069928339087223,0.5610179435779592,0.8514451081512262,0.4183269837219053
2,NGAr124,0.634,0.6227911014361149,0.3914225802666286,0.8362764333987356,0.2555067839848668
2,NGAr125,0.414,0.5990045390021821,0.3172341904100069,0.7303842079090181,0.20261994589763735
2,NGAr126,0.33899999999999997,0.6674701349039907,0.4703569017187666,0.7746390948107686,0.3377047507271521
2,NGAr127,0.5579999999999999,0.6567582754130378,0.4593352526931862,0.8449068894358668,0.3154021068263028
2,NGAr128,0.609,0.7590903838890307,0.6611756488735726,0.8953031871230237,0.5241159571689736
2,NGAr129,0.501,0.5738575306414868,0.2498146137615995,0.7720435553304634,0.14901634937315186
2,NGAr130,0.365,0.6210449508250976,0.3679679533867443,0.7512788484415893,0.2436533045256376
2,NGAr131,0.642,0.6850456674463569,0.5173189909678173,0.8517662912696121,0.3714633532029217
2,NGAr132,0.5670000000000001,0.5602356407009725,0.2282204975211209,0.6925750604124599,0.13662008619563798
2,NGAr133,0.611,0.7219158578227824,0.5998955421057482,0.9111525898273448,0.4471466520106256
2,NGAr134,0.41,0.6657764577037794,0.4720778793659146,0.7988424186771295,0.3350333189398625
2,NGAr135,0.574,0.6375222892286896,0.4149218038778754,0.8245443499392466,0.277208398769052
2,NGAr136,0.415,0.6436183818165917,0.41370423811281504,0.7201233616037008,0.290215057813265
2,NGAr137,0.64,0.7777648762094032,0.6508992409812686,0.7608413515327814,0.5687189522805961
3,NGAr101,0.604,0.5906098714855389,0.3087157858121182,0.8873059018339738,0.18686546344608865
3,NGAr102,0.6559999999999999,0.6086766495841146,0.35988326066664306,0.9273817860731358,0.22326147350520076
3,NGAr103,0.426,0.550705430261655,0.18254777226506846,0.8358355825461089,0.10246291496636152
3,NGAr104,0.622,0.684273006670453,0.5290839492974015,0.9276495809363756,0.37007907856283306
3,NGAr105,0.598,0.5282912545390462,0.10838122179823688,0.8310377844884732,0.05797079110631575
3,NGAr106,0.509,0.5777024250442285,0.2639498300661848,0.8602242721443023,0.15589169302666658
3,NGAr107,0.609,0.5720574459484151,0.24855630413859486,0.8752382969709808,0.14484523433939778
3,NGAr108,0.48200000000000004,0.5927140745221958,0.3065971272949044,0.8575630128525632,0.18666734953874128
3,NGAr109,0.643,0.6540260231776819,0.4733613034235217,0.9150930762019552,0.31925244561249816
3,NGAr110,0.514,0.6148176589707243,0.36098228388044384,0.8115039577836411,0.23211775157625994
3,NGAr111,0.483,0.5813482739214652,0.2770931816360869,0.7860428750659126,0.16819179233390916
3,NGAr112,0.45399999999999996,0.5976321972249792,0.3192521844541406,0.8030796621084132,0.19922566943414666
3,NGAr113,0.5670000000000001,0.6209951684465422,0.3791265656131853,0.861379486851366,0.24305148087633935
3,NGAr114,0.6729999999999999,0.8285620712190469,0.771369539268371,0.8675703071083506,0.6943737215945869
3,NGAr115,0.48200000000000004,0.5801028116351574,0.27105563291094953,0.8567163518952629,0.16099659213697948
3,NGAr116,0.662,0.7090213160256121,0.5784447261922052,0.9204497189256714,0.4217412955257027
3,NGAr117,0.606,0.6515216449084589,0.4572069465832317,0.9175091993855168,0.30446225341426403
3,NGAr118,0.626,0.6162227461022459,0.3717107024143821,0.9076842630665748,0.2337090891287851
3,NGAr119,0.562,0.5722168234498397,0.24957151923508106,0.8445690475578076,0.1464193347007937
3,NGAr120,0.642,0.6176426573805343,0.3757946785966565,0.8921952268329392,0.2380258584097193
3,NGAr121,0.33899999999999997,0.6443683865412654,0.4321238932371089,0.8438487386528913,0.29042280506433993
3,NGAr122,0.64,0.6277884165740679,0.4066377038672459,0.8960733230798205,0.26299158920691657
3,NGAr123,0.655,0.6613785303826174,0.4757505465792139,0.8854016771696521,0.3252611239723655
3,NGAr124,0.634,0.5826441447695531,0.2848816800485873,0.8713613743268116,0.17027568888918493
3,NGAr125,0.414,0.5746213015350347,0.2551003399384777,0.8079088814947529,0.15146262318484174
3,NGAr126,0.33899999999999997,0.6287703240160618,0.3952189063442933,0.8337577002053388,0.2589937235291116
3,NGAr127,0.5579999999999999,0.616177194780989,0.3693403848978992,0.8854023595703469,0.23333797391990346
3,NGAr128,0.609,0.720663685674952,0.6002875021139861,0.9222075475783228,0.4449621311047271
